ID,CITY,STATE,LON,LAT
1,Correntina,BA,-45.40107,-13.53142
2,São Desiderio,BA,-45.81527,-12.70552
3,Porto Nacional,TO,-48.45150,-10.75506
4,Pium,TO,-49.90800,-10.06370
5,Urbano Santos,MA,-43.18492,-3.34054
6,Pium,TO,-49.90800,-10.06370
7,Correntina,BA,-45.58333,-12.53333
8,São desiderio,BA,-45.80000,-11.45000
9,PARNA- Formoso,MG,-46.00000,-14.83333
10,Formosa do rio preto,BA,-45.58333,-10.93333
11,Serra Negra Minaçu,GO,-49.79920,-15.00853
12,Alvorada do Norte,GO,-46.50834,-14.45000
13,Iaciara,GO,-46.13333,-14.13333
14,Campos belos,GO,-46.47500,-13.30833
15,Damianópolis,GO,-46.15833,-14.51667
16,Paracatu,MG,-46.93334,-15.66667
17,Patrocínio-Ibiá-Pratinha,MG,-46.16606,-19.09639
18,Alto Paraíso de Goiás,GO,-47.97003,-13.68263
19,PARNA  Chapada dos veadeiros,GO,-47.76740,-14.13920
